Alaska	gin:3 ounces,Chartreuse:1/2 ounce,orange bitters:1 dash,
Alexander	brandy:1 1/2 ounces,cream:1 ounce,cr�me de cacao:1 ounce,
Algonquin	rye whiskey:2 ounces,dry vermouth:1 ounce,pineapple juice:1 ounce,
Americano	Campari:1 ounce,sweet vermouth:1 ounce,soda water:2 ounces,
Aviation	gin:2 ounces,maraschino liqueur:3/4 ounce,lemon juice:3/4 ounce,
Bacardi Cocktail	rum:1 1/2 ounces,lime juice:3/4 ounce,grenadine:2 dashes,
Bellini	white peach puree:1 ounce,champagne:5 ounces,
Bermuda Rum Swizzle	rum:2 ounces,lime juice:1 ounce,pineapple juice:1 ounce,orange juice:1 ounce,falernum:1/4 ounce,
Between The Sheets	brandy:1 ounce,rum:1 ounce,Cointreau:1 ounce,lemon juice:1/2 ounce,
Bijou	gin:1 ounce,Chartreuse:1 ounce,sweet vermouth:1 ounce,orange bitters:1 dash,
Bistro Sidecar	brandy:1 1/2 ounces,Tuaca:1/2 ounce,Frangelico:1/2 ounce,lemon juice:1/8 ounce,simple syrup:1/8 ounce,tangerine juice:1/8 ounce,
Black Feather	brandy:2 ounces,dry vermouth:1 ounce,Cointreau:1/2 ounce,Angostura Bitters:1 dash,
Black Russian	vodka:2 ounces,coffee liqueur:1 ounce,
Blood And Sand	Scotch whisky:1 1/2 ounces,Cherry Heering:3/4 ounce,sweet vermouth:3/4 ounce,orange juice:3/4 ounce,
Bloody Mary	vodka:1 1/2 ounces,tomato juice:3 ounces,lemon juice:1/2 ounce,worcestershire sauce:4 dashes,Tabasco sauce:2 dashes,black pepper:2 dashes,celery salt:2 dashes,horseradish:1/4 ounce,
Bloomsbury	gin:2 ounces,Licor 43:1/2 ounce,Lillet blanc:1/2 ounce,Peychaud's bitters:2 dashes,
Bobbo's Bride	gin:1 ounce,vodka:1 ounce,peach brandy:1/3 ounce,Campari:1/6 ounce,
Bobby Burns	Scotch whisky:1 ounce,sweet vermouth:1 ounce,Benedictine:1/6 ounce,
Bordeaux Cocktail	vodka:1 1/2 ounces,Lillet blanc:1/2 ounce,
Bourbon Crusta	bourbon whiskey:2 ounces,triple sec:1/2 ounce,maraschino liqueur:1/2 ounce,lemon juice:1/2 ounce,orange bitters:2 dashes,
Bridal	gin:2 ounces,sweet vermouth:1 ounce,maraschino liqueur:1/6 ounce,orange bitters:1 dash,
Bronx	gin:1 1/2 ounces,sweet vermouth:3/4 ounce,dry vermouth:3/4 ounce,orange juice:3/4 ounce,
Brooklyn	rye whiskey:1 1/2 ounces,sweet vermouth:1/2 ounce,Amer Picon:1 dash,maraschino liqueur:1 dash,
Cabaret	gin:1 ounce,dry vermouth:3/4 ounce,Benedictine:1/4 ounce,Angostura Bitters:2 dashes,
Cable Car	spiced rum:2 ounces,Cointreau:1 ounce,lemon juice:1/3 ounce,
Caesar	vodka:1 1/2 ounces,Tabasco sauce:2 dashes,salt:3 dashes,black pepper:3 dashes,worcestershire sauce:4 dashes,tomato-clam juice:4 ounces,
Cafe Diable	orange:1 whole,brandy:1 1/2 cups,cloves:4 whole,sugar:2 tablespoons,coffee:2 cups,
Caipirinha	cacha�a:2 ounces,sugar:2 tablespoons,lime:1/2 whole,
Calvados Cocktail	calvados:1 1/2 ounces,orange juice:1 1/2 ounces,Cointreau:3/4 ounce,orange bitters:2 dashes,
Camparinete	gin:1 1/2 ounces,sweet vermouth:1 1/2 ounces,Campari:1 1/2 ounces,
Captain's Blood	rum:1 1/2 ounces,lime juice:1/4 ounce,simple syrup:1/4 ounce,Angostura Bitters:2 dashes,
Casino	gin:2 ounces,maraschino liqueur:2 dashes,lemon juice:2 dashes,orange bitters:2 dashes,
Champagne Cocktail	champagne:6 ounces,sugar:1 whole,Angostura Bitters:4 dashes,
Champagne Flamingo	vodka:3/4 ounce,Campari:3/4 ounce,champagne:5 ounces,
ChamPino	Campari:1 ounce,sweet vermouth:1 1/4 ounce,champagne:2 ounces,
Champs Elys�es	brandy:1 1/2 ounces,Chartreuse:1/2 ounce,lemon juice:3/4 ounce,simple syrup:1/2 ounce,Angostura Bitters:1 dash,
Chaplin	bourbon whiskey:3/4 ounce,dry sherry:3/4 ounce,Rammazotti:3/4 ounce,Cointreau:1/8 ounce,orange bitters:2 dashes,
Chas	bourbon whiskey:1 1/4 ounce,amaretto:1/8 ounce,Benedictine:1/8 ounce,Cointreau:1/8 ounce,orange cura�ao:1/8 ounce,
Chrysanthemum Cocktail	dry vermouth:1 1/2 ounces,Benedictine:3/4 ounce,absinthe:3 dashes,
Clover Club	gin:1 1/2 ounces,grenadine:1/4 ounce,lemon juice:3/4 ounce,egg white:1 whole,
Coffee Cocktail	port:1 1/2 ounces,brandy:1 1/2 ounces,simple syrup:1 teaspoon,egg:1 whole,
Coffee Nudge	brandy:1/2 ounce,coffee liqueur:1/2 ounce,cr�me de cacao:1/2 ounce,coffee:5 ounces,
Combustible Edison	Campari:1 ounce,lemon juice:1 ounce,brandy:2 ounces,
Commodore	bourbon whiskey:2 ounces,cr�me de cacao:3/4 ounce,lemon juice:1/2 ounce,grenadine:1 dash,
Corpse Reviver #2	gin:3/4 ounce,lemon juice:3/4 ounce,Cointreau:3/4 ounce,Lillet blanc:3/4 ounce,absinthe:1 dash,
Country Gentleman	calvados:1 1/2 ounces,orange cura�ao:3/4 ounce,lemon juice:1/4 ounce,simple syrup:1 teaspoon,
Cuba Libre	rum:2 ounces,cola:4 ounces,lime wedge:1 whole,
Daiquiri	rum:2 ounces,lime juice:3/4 ounce,simple syrup:3/4 ounce,
Dark N' Stormy	rum:2 ounces,ginger beer:4 ounces,
Death in the Afternoon	absinthe:1 ounce,champagne:5 ounces,
De La Louisiane	rye whiskey:3/4 ounce,sweet vermouth:3/4 ounce,Benedictine:3/4 ounce,absinthe:3 dashes,Peychaud's bitters:3 dashes,
Delilah	gin:1 1/2 ounces,Cointreau:3/4 ounce,lemon juice:3/4 ounce,
Delmonico	gin:1 ounce,brandy:1/2 ounce,dry vermouth:1/2 ounce,sweet vermouth:1/2 ounce,orange bitters:1 dash,
Derby	bourbon whiskey:2 ounces,Benedictine:1/4 ounce,Angostura Bitters:1 dash,
Diablo	tequila:1 1/2 ounces,cr�me de cassis:3/4 ounce,lime juice:1/2 ounce,ginger ale:4 ounces,
Diabolo	brandy:1 ounce,dry vermouth:1 ounce,Angostura Bitters:2 dashes,orange bitters:5 dashes,
Eastern Sour	bourbon whiskey:2 ounces,orange juice:1 1/2 ounces,lime juice:1 ounce,orgeat:1/4 ounce,simple syrup:1/4 ounce,
Egg Nog	eggs:6 whole,sugar:1 cup,salt:1/2 teaspoon,rum:1 cup,cream:1 pint,milk:1 pint,
El Presidente	rum:1 1/2 ounces,dry vermouth:3/4 ounce,red cura�ao:1/8 ounce,
Fallen Leaves	calvados:3/4 ounce,sweet vermouth:3/4 ounce,dry vermouth:1/4 ounce,brandy:1 dash,
Fancy-Free	bourbon whiskey:2 ounces,maraschino liqueur:1/2 ounce,Angostura Bitters:1 dash,orange bitters:1 dash,
Floridita	rum:1 1/2 ounces,lime juice:1/2 ounce,sweet vermouth:1/2 ounce,cr�me de cacao:1/8 ounce,grenadine:1/8 ounce,
French 75	gin:1 1/2 ounces,lemon juice:3/4 ounce,sugar:1 teaspoon,champagne:4 ounces,
French Quarter	brandy:2 1/2 ounces,Lillet blanc:3/4 ounce,
Frostbite	tequila:1 ounce,cr�me de cacao:3/4 ounce,cream:3/4 ounce,
Gibson	gin:2 1/2 ounces,dry vermouth:1/2 ounce,
Gimlet	gin:2 ounces,Rose's lime juice:3/4 ounce,
Gin-Gin Mule	lime juice:3/4 ounce,simple syrup:1 ounce,mint:6 whole,gin:1 1/2 ounces,ginger beer:1 ounce,
Goat's Delight	kirschwasser:1 1/2 ounces,brandy:1 1/2 ounces,cream:1 tablespoon,orgeat:1 dash,absinthe:1 dash,
Golden Dawn	gin:3/4 ounce,calvados:3/4 ounce,apricot brandy:3/4 ounce,orange juice:3/4 ounce,
Golden Dream	Galliano:3/4 ounce,Cointreau:1/2 ounce,orange juice:1/2 ounce,cream:1 tablespoon,
Gotham	absinthe:1/2 teaspoon,peach bitters:3 dashes,brandy:3 ounces,
Guadalahara	tequila:2 ounces,dry vermouth:1 ounce,Benedictine:1/2 ounce,
Harrington	vodka:1 1/2 ounces,Cointreau:1/4 ounce,Chartreuse:1/8 ounce,
Highland Cocktail	Scotch whisky:1 1/2 ounces,sweet vermouth:1 1/2 ounces,orange bitters:1 dash,
Hoskins	gin:2 ounces,Torani Amer:3/4 ounce,maraschino liqueur:1/2 ounce,Cointreau:1/4 ounce,orange bitters:1 dash,
Hot Buttered Rum (batter mix)	brown sugar:2 1/4 cups,butter:1/2 cup,salt:1 pinch,nutmeg:1/4 teaspoon,cloves:1/4 teaspoon,cinnamon:1/4 teaspoon,
Income Tax	gin:1 1/4 ounce,orange juice:3/4 ounce,dry vermouth:1/4 ounce,sweet vermouth:1/4 ounce,Angostura Bitters:1 dash,
Irish Coffee	coffee:4 ounces,Irish whiskey:1 1/2 ounces,brown sugar:1 tablespoon,
Jack Rose	applejack:1 1/2 ounces,lime juice:1/2 ounce,grenadine:1/2 ounce,
Jamaican Firefly	lime juice:3/4 ounce,simple syrup:1 ounce,rum:1 1/2 ounces,ginger beer:2 ounces,
Japanese	brandy:2 ounces,orgeat:1/2 ounce,Angostura Bitters:2 dashes,
Jasmine	gin:1 1/2 ounces,Cointreau:1 ounce,Campari:1/2 ounce,lemon juice:3/4 ounce,
Jupiter	gin:2 ounces,dry vermouth:1 ounce,orange juice:1 teaspoon,Parfait Amour:1 teaspoon,
Kamikaze	vodka:1 1/2 ounces,triple sec:1 ounce,lime juice:1 ounce,
Kangaroo	vodka:1 1/2 ounces,dry vermouth:1/2 ounce,
Kir	dry white wine:5 ounces,cr�me de cassis:1/4 ounce,
Kir Royale	champagne:5 ounces,cr�me de cassis:1/4 ounce,
Last Word	gin:1/2 ounce,maraschino liqueur:1/2 ounce,Chartreuse:1/2 ounce,lime juice:1/2 ounce,
Leap Year	gin:2 ounces,sweet vermouth:1/2 ounce,Grand Marnier:1/2 ounce,lemon juice:1 dash,
Lemon Drop	vodka:1 1/2 ounces,lemon juice:3/4 ounce,sugar:1 teaspoon,
Liberal	rye whiskey:1 1/2 ounces,sweet vermouth:1/2 ounce,Amer Picon:1/4 ounce,orange bitters:1 dash,
Mahogany	dry vermouth:1 1/2 ounces,Jagermeister:3/4 ounce,Benedictine:3/4 ounce,cinnamon tincture:1 dash,
Mai Tai	rum:1 ounce,rum:1 ounce,lime juice:3/4 ounce,orange cura�ao:1/2 ounce,orgeat:1/2 ounce,
Manhattan	rye whiskey:2 ounces,sweet vermouth:1 ounce,Angostura Bitters:2 dashes,
Margarita	tequila:2 ounces,Cointreau:1 1/3 ounce,lime juice:2/3 ounce,
Martinez	gin:1 ounce,sweet vermouth:2 ounces,orange bitters:1 dash,maraschino liqueur:2 dashes,
Martini	gin:2 1/2 ounces,dry vermouth:1/2 ounce,orange bitters:1 dash,
Martini (classic)	gin:1 1/2 ounces,dry vermouth:1/2 ounce,orange bitters:1 dash,
Martini (circa. 1888)	Old Tom gin:1 1/2 ounces,sweet vermouth:1 1/2 ounces,simple syrup:2 dashes,Boker's bitters:2 dashes,orange cura�ao:1 dash,
Martini (circa. 1900)	gin:2 ounces,sweet vermouth:1 ounce,orange bitters:1 dash,
Martini - dry (circa. 1900)	gin:1 1/2 ounces,dry vermouth:1 1/2 ounces,orange bitters:2 dashes,
Metropole	brandy:1 1/2 ounces,dry vermouth:3/4 ounce,orange bitters:2 dashes,Peychaud's bitters:1 dash,
Milk Punch	bourbon whiskey:2 ounces,milk:2 ounces,dark rum:1/2 teaspoon,simple syrup:1 tablespoon,
Mimosa	orange juice:2 ounces,champagne:4 ounces,
Mint Julep	bourbon whiskey:2 ounces,mint:4 whole,sugar:2 teaspoons,
Mojito	rum:1 1/2 ounces,lime juice:3/4 ounce,simple syrup:1 ounce,mint:12 whole,soda water:2 ounces,
Monkey Gland	gin:2 ounces,orange juice:1 ounce,grenadine:1/4 ounce,absinthe:1 dash,
Monte Carlo	rye whiskey:2 ounces,Benedictine:1/2 ounce,Angostura Bitters:2 dashes,
Morning Cocktail	brandy:3/4 ounce,dry vermouth:3/4 ounce,orange cura�ao:2 dashes,maraschino liqueur:2 dashes,orange bitters:2 dashes,absinthe:2 dashes,
Moscow Mule	vodka:2 ounces,lime juice:1 ounce,ginger beer:3 ounces,
Negroni	gin:1 ounce,Campari:1 ounce,sweet vermouth:1 ounce,
Nicky Finn	brandy:1 ounce,Cointreau:1 ounce,lemon juice:1 ounce,pastis:1 dash,
Obituary Cocktail	gin:2 ounces,dry vermouth:1/4 ounce,absinthe:1/4 ounce,
Old Cuban	lime juice:3/4 ounce,simple syrup:1 ounce,rum:1 1/2 ounces,Angostura Bitters:2 dashes,mint:6 whole,champagne:2 ounces,
Old Fashioned Whiskey Cocktail	rye whiskey:2 ounces,simple syrup:1 teaspoon,Angostura Bitters:2 dashes,
Old Pal	Canadian whisky:1 ounce,dry vermouth:1 ounce,Campari:1 ounce,
Opera	gin:2 ounces,Dubonnet:1/2 ounce,maraschino liqueur:1/4 ounce,orange bitters:1 dash,
Palm Beach Special	gin:2 ounces,sweet vermouth:1/2 ounce,grapefruit juice:1/2 ounce,
Parisian	gin:1 1/2 ounces,dry vermouth:1 1/2 ounces,cr�me de cassis:1/2 ounce,
Park Avenue	gin:3 ounces,pineapple juice:1 ounce,sweet vermouth:1/2 ounce,orange cura�ao:1/2 ounce,
Pegu Club	gin:2 ounces,orange cura�ao:3/4 ounce,lime juice:3/4 ounce,Angostura Bitters:2 dashes,orange bitters:1 dash,
Petit Zinc	vodka:1 ounce,Cointreau:1/2 ounce,sweet vermouth:1/2 ounce,orange juice:1/2 ounce,
Pimm's Cup	Pimm's No. 1:2 ounces,ginger ale:3 ounces,
Pink Gin	gin:1 1/2 ounces,Angostura Bitters:3 dashes,
Pink Lady	gin:1 1/2 ounces,applejack:1/2 ounce,lemon juice:3/4 ounce,grenadine:1/8 ounce,egg white:1 whole,
Pisco Sour	pisco:2 ounces,lime juice:3/4 ounce,simple syrup:3/4 ounce,egg white:1 whole,Angostura Bitters:2 dashes,
Planters Punch	rum:1 1/2 ounces,lemon juice:3/4 ounce,orange juice:1/8 ounce,
Poet's Dream	gin:3/4 ounce,dry vermouth:3/4 ounce,Benedictine:3/4 ounce,
Port Wine Cocktail	port:2 ounces,brandy:1 dash,
Presidente	rum:1 1/2 ounces,dry vermouth:1/2 ounce,Cointreau:1/2 ounce,lemon juice:1/2 ounce,grenadine:1 dash,
Pusser's Painkiller	rum:2 ounces,pineapple juice:4 ounces,orange juice:1 ounce,coconut cream:1 ounce,
Ramos Gin Fizz	gin:2 ounces,cream:1 ounce,egg white:1 whole,simple syrup:1 ounce,lemon juice:1/2 ounce,lime juice:1/2 ounce,orange flower water:2 dashes,soda water:1 ounce,
Red Snapper	gin:2 ounces,tomato juice:4 ounces,lemon juice:1/2 ounce,salt:1 pinch,black pepper:1 pinch,worcestershire sauce:2 dashes,Tabasco sauce:2 dashes,
Renaissance	brandy:2 ounces,sweet vermouth:1 ounce,limoncello:1/4 ounce,peach bitters:2 dashes,
